"shop_ID" "region" "food_type" "review_n" "taste" "environment" "service" "score_avg" "cost_avg" "heat"
516228 "北太平庄" "其他小吃" 85 21 20 18 3.51 20 "3"
516483 "五道口" "咖啡厅" 92 24 19 20 3.47 34 "3"
516484 "五道口" "北京菜" 8 20 18 18 3.66 23 "1"
516517 "北太平庄" "北京菜" 40 23 20 20 3.58 27 "3"
516519 "五道口" "北京菜" 40 24 22 22 3.45 59 "3"
516579 "五道口" "火锅" 126 24 17 19 3.73 40 "4"
561347 "北太平庄" "川菜" 14 19 16 16 3.5 25 "1"
561689 "北太平庄" "小吃" 118 22 18 19 3.72 13 "4"
561692 "北太平庄" "面包" 37 16 14 15 2.75 9 "3"
564089 "五道口" "咖啡厅" 138 24 21 21 3.8 37 "4"
564990 "北太平庄" "面包" 240 25 23 23 3.83 28 "4"
565089 "五道口" "小吃" 183 20 17 17 3.29 29 "4"
565233 "北太平庄" "小吃" 16 23 16 18 3.33 9 "2"
565542 "五道口" "其他小吃" 87 18 18 16 3.56 21 "3"
565666 "五道口" "韩国料理" 1764 23 15 17 3.51 102 "5"
566506 "北太平庄" "小吃" 219 22 18 18 3.38 26 "4"
566760 "五道口" "川菜" 113 20 14 15 3.28 37 "4"
567279 "北太平庄" "快餐" 15 20 16 18 3.16 14 "2"
567449 "北太平庄" "小吃" 110 17 12 12 3.41 17 "3"
568039 "北太平庄" "火锅" 127 18 17 17 3.46 44 "4"
568135 "北太平庄" "咖啡厅" 311 17 22 16 3.31 47 "4"
568691 "北太平庄" "北京菜" 52 20 18 19 3.11 39 "3"
569849 "北太平庄" "甜点" 81 26 21 23 3.8 28 "3"
569935 "五道口" "快餐" 269 14 15 15 3.21 22 "4"
579185 "北太平庄" "火锅" 63 25 17 21 3.9 49 "3"
580657 "北太平庄" "韩国料理" 36 20 17 18 3.22 31 "3"
580968 "五道口" "火锅" 61 21 18 18 3.66 43 "3"
582153 "北太平庄" "火锅" 230 24 16 19 3.7 62 "4"
582273 "北太平庄" "快餐" 151 20 19 17 3.45 22 "4"
583447 "五道口" "韩国料理" 101 27 22 22 4.02 58 "3"
585324 "五道口" "小吃" 76 21 19 19 3.44 47 "3"
586602 "北太平庄" "其他小吃" 18 17 14 15 2.4 18 "2"
586635 "五道口" "小吃" 152 24 21 19 3.67 46 "4"
1884028 "五道口" "快餐" 55 16 15 15 2.68 20 "3"
1893607 "北太平庄" "小吃" 270 21 18 17 3.39 26 "4"
1909669 "北太平庄" "其他小吃" 94 20 10 16 3 11 "3"
1916848 "北太平庄" "川菜" 57 22 19 20 3.38 47 "3"
1917847 "五道口" "北京菜" 74 22 20 20 3.51 7 "3"
1917850 "五道口" "快餐" 61 23 16 19 3.72 7 "3"
1918093 "五道口" "快餐" 217 25 20 19 3.98 22 "4"
1918099 "五道口" "快餐" 93 20 18 18 3.83 8 "3"
1918102 "五道口" "北京菜" 53 23 20 20 3.45 20 "3"
1921084 "五道口" "面包" 97 24 19 19 3.89 21 "3"
1923991 "五道口" "小吃" 41 20 15 16 3.66 34 "3"
1926541 "五道口" "北京菜" 937 28 27 25 4.13 126 "5"
1940419 "北太平庄" "火锅" 585 25 21 20 3.88 60 "5"
1942477 "北太平庄" "咖啡厅" 327 19 24 20 3.79 39 "5"
1952302 "五道口" "韩国料理" 426 22 20 21 3.67 30 "5"
1953427 "北太平庄" "北京菜" 26 22 21 20 3.5 12 "2"
1958686 "北太平庄" "川菜" 65 22 16 16 3.88 7 "3"
1959169 "北太平庄" "火锅" 400 24 18 18 3.76 31 "5"
1960495 "北太平庄" "川菜" 1215 25 27 20 3.95 78 "5"
1961191 "五道口" "快餐" 177 19 16 15 3.4 16 "4"
1969027 "北太平庄" "小吃" 56 21 16 18 3.32 27 "3"
1973548 "北太平庄" "川菜" 113 23 18 18 3.5 37 "4"
1997866 "五道口" "小吃" 6 21 17 17 3 15 "1"
2001100 "北太平庄" "火锅" 80 23 15 19 3.66 46 "3"
2001895 "五道口" "小吃" 41 20 20 16 3.23 41 "3"
2005348 "北太平庄" "小吃" 140 24 15 17 3.7 35 "4"
2011441 "北太平庄" "小吃" 16 21 16 17 3.57 2 "2"
2012473 "五道口" "其他小吃" 29 21 16 17 3.5 15 "2"
2019982 "五道口" "快餐" 130 22 17 16 3.81 14 "4"
2022970 "五道口" "小吃" 52 20 17 17 3.28 41 "3"
2023327 "北太平庄" "火锅" 242 22 16 17 3.53 48 "4"
2024185 "五道口" "其他小吃" 85 26 17 23 3.72 3 "3"
2028058 "五道口" "韩国料理" 333 25 24 24 3.69 60 "5"
2029957 "北太平庄" "咖啡厅" 74 25 24 25 3.85 41 "3"
2033725 "五道口" "北京菜" 64 22 20 21 3.27 40 "3"
2037532 "北太平庄" "咖啡厅" 31 21 20 18 3.5 48 "2"
2039683 "五道口" "北京菜" 146 27 22 24 3.88 43 "4"
2040115 "五道口" "韩国料理" 58 21 20 21 3.57 56 "3"
2044624 "五道口" "小吃" 21 22 19 18 3.33 30 "2"
2045092 "北太平庄" "快餐" 37 21 14 17 3.29 5 "3"
2046730 "北太平庄" "小吃" 23 18 14 15 3.5 14 "2"
2048125 "五道口" "韩国料理" 22 23 19 19 3.42 44 "2"
2056765 "五道口" "面包" 271 23 21 21 3.59 20 "4"
2061667 "五道口" "咖啡厅" 74 16 17 17 3.24 19 "3"
2063797 "北太平庄" "咖啡厅" 120 16 17 16 2.95 47 "4"
2070667 "北太平庄" "火锅" 17 23 19 20 3.54 50 "2"
2071018 "北太平庄" "面包" 51 22 20 18 3.25 17 "3"
2075749 "五道口" "韩国料理" 72 24 21 20 3.79 65 "3"
2078053 "北太平庄" "小吃" 83 22 15 17 3.56 21 "3"
2084941 "北太平庄" "其他小吃" 38 23 17 20 3.52 23 "3"
2093698 "北太平庄" "其他小吃" 9 20 16 16 2.33 12 "1"
2101591 "五道口" "韩国料理" 42 23 20 21 3.78 27 "3"
2105443 "北太平庄" "小吃" 170 18 15 15 2.96 22 "4"
2114959 "五道口" "其他小吃" 23 19 14 14 3.12 14 "2"
2119537 "北太平庄" "小吃" 55 20 18 17 3.43 23 "3"
2120731 "五道口" "川菜" 190 24 18 18 3.6 48 "4"
2120872 "五道口" "川菜" 21 22 19 19 3.31 15 "2"
2123890 "北太平庄" "北京菜" 10 20 18 19 3.6 76 "1"
2125846 "五道口" "快餐" 20 20 16 18 3.88 14 "2"
2132704 "五道口" "咖啡厅" 28 20 19 20 3.7 49 "2"
2135173 "北太平庄" "川菜" 28 20 17 19 3.22 25 "2"
2180206 "五道口" "韩国料理" 51 23 24 22 3.46 100 "3"
2181556 "五道口" "北京菜" 98 23 23 22 4.05 77 "3"
2190160 "五道口" "火锅" 572 21 27 20 3.39 75 "5"
2190187 "五道口" "火锅" 182 25 18 17 3.52 56 "4"
2197891 "北太平庄" "北京菜" 73 21 17 19 3.17 46 "3"
2207071 "五道口" "小吃" 64 19 17 17 3.23 22 "3"
2207440 "五道口" "快餐" 120 22 21 20 3.72 20 "4"
2212648 "五道口" "北京菜" 41 23 21 21 3.29 45 "3"
2212651 "五道口" "北京菜" 75 21 18 18 3.46 29 "3"
2212855 "五道口" "快餐" 105 21 17 20 3.47 20 "3"
2214247 "五道口" "小吃" 22 21 19 17 3.33 31 "2"
2214490 "五道口" "韩国料理" 6 21 17 19 5 37 "1"
2226736 "五道口" "川菜" 92 21 18 20 3.36 44 "3"
2242552 "五道口" "韩国料理" 740 25 21 20 3.78 54 "5"
2246812 "五道口" "小吃" 85 19 17 17 3.24 28 "3"
2249641 "五道口" "北京菜" 33 22 20 20 3.77 36 "2"
2250880 "五道口" "快餐" 29 18 16 14 2.62 4 "2"
2259295 "五道口" "韩国料理" 32 22 20 20 3.56 69 "2"
2265106 "五道口" "甜点" 353 26 19 21 3.84 7 "5"
2269588 "北太平庄" "小吃" 84 24 12 16 3.53 31 "3"
2273329 "五道口" "小吃" 100 23 12 15 3.81 10 "3"
2273797 "五道口" "快餐" 160 20 17 17 3.25 18 "4"
2274244 "北太平庄" "川菜" 24 22 24 23 3.8 141 "2"
2275249 "五道口" "川菜" 151 22 15 17 3.26 33 "4"
2306422 "五道口" "韩国料理" 35 20 18 19 3.21 19 "2"
2306881 "五道口" "咖啡厅" 19 22 20 19 3.75 24 "2"
2308057 "五道口" "北京菜" 152 26 22 21 3.93 37 "4"
2316268 "五道口" "北京菜" 25 22 21 19 3.52 43 "2"
2316811 "北太平庄" "面包" 30 23 20 20 3.58 27 "2"
2323861 "北太平庄" "快餐" 69 19 17 14 3.2 37 "3"
2326996 "五道口" "咖啡厅" 428 25 27 24 3.97 41 "5"
2328811 "五道口" "快餐" 20 22 19 18 4 6 "2"
2330332 "北太平庄" "火锅" 43 20 16 17 2.85 64 "3"
2335510 "五道口" "北京菜" 106 23 21 21 3.48 38 "3"
2337358 "五道口" "小吃" 42 23 17 18 3.52 12 "3"
2339266 "五道口" "北京菜" 47 24 20 19 3.55 21 "3"
2339395 "五道口" "咖啡厅" 858 21 24 22 3.66 42 "5"
2341198 "五道口" "面包" 7 19 17 17 3 5 "1"
2348791 "五道口" "北京菜" 60 23 19 19 3.52 19 "3"
2355289 "五道口" "小吃" 56 21 14 16 3.2 8 "3"
2360917 "北太平庄" "面包" 16 18 16 17 3 23 "2"
2365051 "北太平庄" "北京菜" 8 22 18 19 3.66 18 "1"
2365528 "五道口" "咖啡厅" 17 25 27 24 4 192 "2"
2367019 "五道口" "面包" 50 25 25 25 3.44 144 "3"
2369341 "五道口" "北京菜" 87 26 18 21 3.86 8 "3"
2369638 "五道口" "川菜" 906 21 20 18 3.42 61 "5"
2372335 "五道口" "韩国料理" 26 22 20 20 3.6 57 "2"
2373523 "北太平庄" "面包" 15 21 19 19 3.71 28 "2"
2378053 "五道口" "快餐" 7 21 17 18 3.66 12 "1"
2379193 "北太平庄" "小吃" 100 24 16 17 3.37 13 "3"
2379367 "五道口" "面包" 955 29 27 24 4 26 "5"
2380966 "北太平庄" "其他小吃" 42 25 17 19 4.05 16 "3"
2381482 "北太平庄" "面包" 19 20 20 20 3.36 15 "2"
2388184 "五道口" "小吃" 27 19 15 16 3.2 19 "2"
2390392 "北太平庄" "面包" 48 25 20 20 3.75 22 "3"
2399731 "五道口" "小吃" 18 17 16 15 2.85 30 "2"
2399893 "五道口" "北京菜" 522 23 27 25 3.74 89 "5"
2404162 "五道口" "韩国料理" 903 25 23 23 3.79 62 "5"
2404204 "五道口" "甜点" 367 25 20 19 3.74 10 "5"
2404228 "五道口" "小吃" 139 27 22 21 4 47 "4"
2404240 "五道口" "火锅" 473 19 16 15 3.13 75 "5"
2404255 "五道口" "小吃" 271 22 23 21 3.46 30 "4"
2404300 "五道口" "韩国料理" 381 19 18 16 3.41 28 "5"
2405785 "北太平庄" "火锅" 22 18 15 15 2.53 31 "2"
2408281 "五道口" "面包" 20 20 19 19 3.27 21 "2"
2410459 "五道口" "小吃" 291 21 15 16 3.3 39 "4"
2414017 "五道口" "面包" 14 18 17 17 3.25 14 "1"
2414941 "北太平庄" "小吃" 20 21 15 16 3.16 11 "2"
2415118 "五道口" "火锅" 84 21 15 15 3.35 60 "3"
2416006 "北太平庄" "快餐" 16 19 16 16 3.27 5 "2"
2416009 "北太平庄" "北京菜" 46 21 20 19 3.5 36 "3"
2416345 "五道口" "小吃" 130 21 17 15 3.2 25 "4"
2416834 "五道口" "面包" 17 20 18 18 3.25 27 "2"
2423755 "北太平庄" "川菜" 11 22 18 18 3.75 55 "1"
2426011 "五道口" "火锅" 53 26 18 22 3.91 62 "3"
2430025 "北太平庄" "小吃" 147 28 20 21 4.14 31 "4"
2439151 "北太平庄" "面包" 9 20 17 18 3.33 13 "1"
2440999 "五道口" "快餐" 103 20 19 17 3.23 29 "3"
2444086 "五道口" "咖啡厅" 11 20 18 17 3.42 15 "1"
2444365 "五道口" "小吃" 11 23 20 20 3.87 30 "1"
2449909 "五道口" "川菜" 87 26 19 20 3.73 35 "3"
2471557 "五道口" "快餐" 298 20 19 18 3.41 18 "4"
2478106 "北太平庄" "咖啡厅" 20 20 17 18 3.38 22 "2"
2482198 "五道口" "甜点" 33 18 18 18 3.27 18 "2"
2484088 "北太平庄" "川菜" 14 21 16 17 3.55 27 "1"
2487751 "北太平庄" "快餐" 52 19 17 17 2.9 25 "3"
2493115 "五道口" "北京菜" 97 26 22 22 4.06 22 "3"
2502727 "五道口" "面包" 528 29 25 25 4.15 42 "5"
2515585 "五道口" "川菜" 40 21 16 16 3.72 35 "3"
2518099 "五道口" "韩国料理" 65 21 18 19 3.11 44 "3"
2520955 "北太平庄" "其他小吃" 120 24 11 17 3.87 17 "4"
2522995 "北太平庄" "面包" 35 19 18 16 3.11 20 "2"
2523070 "五道口" "小吃" 30 21 14 17 3.37 10 "2"
2524246 "五道口" "川菜" 1420 26 26 25 4.03 69 "5"
2527300 "五道口" "北京菜" 56 22 17 18 3.31 19 "3"
2545960 "北太平庄" "小吃" 48 18 16 15 3.06 16 "3"
2548252 "五道口" "小吃" 106 27 23 24 4.02 30 "3"
2551843 "北太平庄" "小吃" 17 24 14 16 3.92 25 "2"
2553088 "北太平庄" "北京菜" 26 21 21 19 3.42 12 "2"
2564662 "五道口" "韩国料理" 11 22 18 18 3.5 42 "1"
2565769 "北太平庄" "小吃" 94 18 15 15 2.95 17 "3"
2567599 "北太平庄" "北京菜" 27 22 18 19 2.94 31 "2"
2568874 "五道口" "咖啡厅" 15 21 19 18 2.07 47 "2"
2570638 "北太平庄" "小吃" 81 21 20 18 3.5 24 "3"
2575084 "五道口" "小吃" 8 18 17 17 3 15 "1"
2576512 "北太平庄" "面包" 15 19 17 15 3 14 "2"
2578435 "五道口" "面包" 51 18 17 16 3.38 19 "3"
2579545 "北太平庄" "小吃" 6 20 17 17 2 31 "1"
2583460 "五道口" "小吃" 133 21 20 18 3.39 17 "4"
2585002 "五道口" "北京菜" 13 21 20 19 3 33 "1"
2588857 "北太平庄" "咖啡厅" 234 21 24 22 3.63 44 "4"
2589589 "五道口" "川菜" 23 22 17 17 3.18 15 "2"
2592913 "北太平庄" "其他小吃" 11 20 16 17 2.57 3 "1"
2599645 "五道口" "小吃" 74 21 16 16 3.38 19 "3"
2606812 "北太平庄" "小吃" 7 20 17 18 3 32 "1"
2628478 "五道口" "快餐" 119 21 21 20 3.37 25 "4"
2629393 "北太平庄" "北京菜" 34 20 20 20 3.48 6 "2"
2629465 "北太平庄" "小吃" 213 20 17 15 2.97 27 "4"
2629471 "北太平庄" "小吃" 25 18 16 16 2.62 15 "2"
2631994 "北太平庄" "其他小吃" 6 19 16 16 1.66 10 "1"
2636212 "北太平庄" "火锅" 206 20 20 20 3.4 49 "4"
2637685 "北太平庄" "火锅" 89 21 12 15 3.29 41 "3"
2637814 "北太平庄" "面包" 75 24 21 20 3.66 24 "3"
2646916 "北太平庄" "小吃" 15 22 18 19 3.83 51 "2"
2648203 "北太平庄" "其他小吃" 34 17 15 14 2.96 14 "2"
2649499 "北太平庄" "甜点" 9 22 17 18 3.33 5 "1"
2658403 "北太平庄" "川菜" 198 21 16 17 3.22 55 "4"
2659315 "北太平庄" "咖啡厅" 27 21 20 20 3.35 34 "2"
2659333 "五道口" "快餐" 30 19 17 18 3 21 "2"
2659387 "北太平庄" "快餐" 86 20 18 18 3.21 23 "3"
2660929 "五道口" "快餐" 122 21 17 17 3.4 10146 "4"
2668516 "北太平庄" "快餐" 20 18 16 15 3.23 20 "2"
2674162 "五道口" "北京菜" 33 24 21 21 3.83 29 "2"
2685775 "北太平庄" "小吃" 15 20 17 18 2 18 "2"
2687263 "北太平庄" "小吃" 27 22 15 17 3.46 11 "2"
2687716 "北太平庄" "川菜" 10 22 20 20 3.37 31 "1"
2696635 "五道口" "川菜" 14 22 18 19 3 14 "1"
2702329 "北太平庄" "小吃" 14 22 17 19 3.63 26 "1"
2711266 "五道口" "快餐" 86 22 20 19 3.73 18 "3"
2725351 "北太平庄" "北京菜" 67 21 19 18 3.11 43 "3"
2727826 "五道口" "其他小吃" 8 20 17 17 3.16 18 "1"
2731606 "五道口" "小吃" 34 18 14 16 3 30 "2"
2732869 "五道口" "小吃" 7 22 18 18 3.4 10 "1"
2735875 "北太平庄" "小吃" 13 19 16 16 3.33 26 "1"
2736283 "北太平庄" "北京菜" 19 23 19 20 3.69 27 "2"
2736793 "五道口" "小吃" 15 20 18 17 3.5 43 "2"
2739349 "北太平庄" "面包" 8 20 17 17 3.5 7 "1"
2739976 "北太平庄" "火锅" 34 21 15 17 3 36 "2"
2750707 "北太平庄" "小吃" 7 21 16 17 3.75 36 "1"
2753728 "北太平庄" "火锅" 10 21 16 17 3.66 49 "1"
2755150 "北太平庄" "川菜" 2320 28 23 23 4.08 56 "5"
2763016 "五道口" "其他小吃" 24 22 16 17 3.7 12 "2"
2765284 "五道口" "咖啡厅" 12 20 18 17 3.45 54 "1"
2770306 "北太平庄" "快餐" 12 21 16 17 3.37 15 "1"
2771515 "北太平庄" "北京菜" 12 21 20 20 4 53 "1"
2774542 "北太平庄" "其他小吃" 10 20 16 16 3.12 29 "1"
2789713 "五道口" "小吃" 10 22 15 17 4 6 "1"
2814340 "五道口" "甜点" 62 26 20 22 3.88 26 "3"
2814547 "北太平庄" "川菜" 43 23 16 17 3.38 47 "3"
2816389 "五道口" "快餐" 48 24 19 22 3.81 12 "3"
2819437 "五道口" "北京菜" 27 23 21 20 3.69 5 "2"
2823916 "北太平庄" "川菜" 206 25 20 21 3.78 46 "4"
2824306 "五道口" "快餐" 39 26 24 24 3.76 25 "3"
2824597 "北太平庄" "小吃" 21 22 14 18 3.43 3 "2"
2824687 "五道口" "北京菜" 33 22 21 19 3.54 20 "2"
2826217 "五道口" "快餐" 63 17 16 16 3.12 23 "3"
2827057 "北太平庄" "北京菜" 160 22 21 19 3.39 44 "4"
2827720 "五道口" "小吃" 21 19 15 15 3 17 "2"
2837908 "五道口" "小吃" 420 28 17 21 3.99 9 "5"
2841568 "北太平庄" "快餐" 34 23 21 21 3.65 25 "2"
2846926 "五道口" "面包" 22 17 18 17 2.53 22 "2"
2852569 "五道口" "小吃" 51 21 18 18 3.37 15 "3"
2856940 "北太平庄" "快餐" 24 22 21 19 3.57 24 "2"
2859724 "五道口" "其他小吃" 15 23 16 19 4.08 3 "2"
2866009 "北太平庄" "其他小吃" 17 23 14 18 3.78 13 "2"
2866069 "北太平庄" "小吃" 10 23 18 20 4 2 "1"
2866081 "北太平庄" "小吃" 8 22 17 18 4.2 15 "1"
2880016 "五道口" "甜点" 11 20 16 19 3 4 "1"
2890417 "北太平庄" "小吃" 9 21 18 18 3.57 21 "1"
2892958 "北太平庄" "快餐" 83 18 18 16 3.02 20 "3"
2897392 "五道口" "北京菜" 15 21 18 19 3 17 "2"
2899978 "五道口" "快餐" 23 21 19 18 3.12 23 "2"
2900014 "五道口" "小吃" 145 20 19 17 3.27 26 "4"
2901193 "五道口" "咖啡厅" 96 22 24 23 3.87 41 "3"
2905372 "五道口" "面包" 53 20 18 16 3.3 21 "3"
2911198 "五道口" "火锅" 159 28 19 21 3.84 44 "4"
2914819 "五道口" "其他小吃" 23 18 15 15 3.11 15 "2"
2915167 "五道口" "小吃" 11 22 19 19 3.1 10 "1"
2916916 "五道口" "面包" 8 21 18 22 4.33 5 "1"
2921476 "北太平庄" "快餐" 32 17 16 15 3.26 26 "2"
2922049 "五道口" "火锅" 289 21 21 19 3.25 74 "4"
2924731 "北太平庄" "甜点" 11 21 18 18 3 5 "1"
2926732 "五道口" "川菜" 213 19 19 16 3.28 59 "4"
2931346 "五道口" "北京菜" 13 22 20 20 3.6 43 "1"
2935255 "五道口" "面包" 178 22 16 16 3.28 13 "4"
2935573 "五道口" "小吃" 48 24 19 18 3.67 15 "3"
2938852 "五道口" "小吃" 417 25 22 20 3.87 24 "5"
2941153 "北太平庄" "其他小吃" 10 20 16 16 3.33 3 "1"
2942908 "北太平庄" "咖啡厅" 34 19 20 20 3.03 36 "2"
2943145 "五道口" "小吃" 31 22 16 17 3.56 9 "2"
2943625 "五道口" "快餐" 10 19 16 17 3 20 "1"
2948095 "北太平庄" "面包" 7 21 18 18 3.2 14 "1"
2949112 "北太平庄" "川菜" 6 20 17 17 3 17 "1"
2949559 "五道口" "快餐" 73 21 18 18 3.53 12 "3"
2950870 "五道口" "火锅" 573 26 18 20 3.79 34 "5"
2952601 "五道口" "面包" 28 22 17 19 4 7 "2"
2959945 "五道口" "北京菜" 15 21 19 19 3.5 18 "2"
2961007 "北太平庄" "小吃" 13 22 18 19 4 62 "1"
2972311 "五道口" "韩国料理" 2327 26 24 24 3.9 57 "5"
2983009 "五道口" "小吃" 27 22 18 17 3.36 26 "2"
2985892 "五道口" "川菜" 16 23 19 19 3.16 34 "2"
2986738 "北太平庄" "快餐" 36 18 17 18 2.85 26 "3"
3003973 "五道口" "快餐" 49 19 17 16 3.19 19 "3"
3009175 "五道口" "小吃" 7 21 18 18 4 12 "1"
3013849 "五道口" "火锅" 13 24 17 20 4.37 25 "1"
3014908 "五道口" "其他小吃" 11 21 18 19 3.33 12 "1"
3015013 "五道口" "面包" 8 21 16 18 3.2 3 "1"
3015295 "五道口" "面包" 10 20 18 18 4 8 "1"
3024574 "五道口" "其他小吃" 17 22 16 17 3.66 5 "2"
3028489 "五道口" "咖啡厅" 35 24 22 23 3.96 38 "2"
3040843 "北太平庄" "小吃" 13 23 15 18 3.81 7 "1"
3044974 "北太平庄" "甜点" 7 20 17 18 3.33 12 "1"
3048133 "五道口" "川菜" 13 22 19 20 3.55 32 "1"
3050521 "五道口" "火锅" 144 24 19 19 3.78 33 "4"
3051781 "北太平庄" "快餐" 21 20 19 17 3 30 "2"
3051817 "五道口" "面包" 15 22 20 16 2.84 25 "2"
3054889 "五道口" "咖啡厅" 13 19 17 17 3 37 "1"
3055396 "五道口" "小吃" 12 21 18 18 2.9 18 "1"
3057187 "五道口" "甜点" 24 24 20 21 3.91 8 "2"
3063157 "北太平庄" "川菜" 76 22 20 19 3.38 49 "3"
3075307 "北太平庄" "甜点" 30 21 17 19 3.64 6 "2"
3075829 "北太平庄" "小吃" 6 24 17 19 3.83 38 "1"
3081034 "五道口" "面包" 19 23 20 20 3.6 22 "2"
3085894 "北太平庄" "咖啡厅" 17 23 24 23 3.85 48 "2"
3094564 "北太平庄" "小吃" 35 23 19 18 3.26 14 "2"
3099364 "五道口" "其他小吃" 10 21 18 19 3.66 14 "1"
3101473 "五道口" "小吃" 30 20 19 18 2.82 43 "2"
3106702 "北太平庄" "火锅" 44 23 18 20 3.79 52 "3"
3108361 "五道口" "小吃" 32 21 17 17 3.28 14 "2"
3112357 "五道口" "快餐" 13 22 20 20 3.54 12 "1"
3113665 "五道口" "咖啡厅" 12 21 18 18 3.75 15 "1"
3113686 "五道口" "小吃" 24 23 18 20 3.78 17 "2"
3116893 "北太平庄" "北京菜" 191 25 21 22 3.7 46 "4"
3117436 "北太平庄" "小吃" 233 25 13 16 3.5 71 "4"
3119371 "五道口" "韩国料理" 157 22 23 24 3.73 72 "4"
3121684 "五道口" "快餐" 23 20 18 19 3.36 18 "2"
3127669 "五道口" "川菜" 18 20 17 15 3.18 31 "2"
3130588 "五道口" "其他小吃" 42 18 17 15 2.96 17 "3"
3130771 "五道口" "川菜" 29 21 18 19 3.34 43 "2"
3133897 "五道口" "韩国料理" 293 24 18 18 3.46 36 "4"
